jio,fewjio,fjeifj,fewnio,wnigwefjw,eke,ekje
hj,ki,lo,po,yi,nu,tu
efw,grge,gre,ger,ger,gerg,ge
fewf,grg,hy,h64u,45,u45,y
greg,ere,ery,g,et,rh,ere
f,g,e,s,tr,e,g
re,wtr,etr,te,wt4r,sgr,sger
re,wtr,etr,te,wt4r,sgr,sger
k,l,i,p,y,f,c
k,l,i,p,y,f,c
gigiuk,hh,u,gui,vi,u,hu
rger,htyt6,y6t4y,wtr,ewt,y54,th
today,somewhere,flavors,red,yesterday,no,yurrrrrm
tomorrow,thatone,this,no,45,yuuuup,boo
34,gjeoiw,feqf,gwe,eqrq,grg,tehe
moo,maa,miii,meee,90,yee,
feswf,reer,yy,5tye,y535y53,efw,fewf
stefs bday,some,yes,meh,90,siiii,none
jgisjg,jgigjr,gjrowig,geiowgj,gejwj,fjeowjfw,
fsigosg,gejiwgj,jegiow,gjirw,gjiew,jiewp,kfow
ijaefoi,fjeiqfj,nidaefn,niaef,ei,fie,joi
gjrowjgo,fheiafh,afjiefhe,fhiwa'fhei,fjwiqj,fjeajf,hie
ewf,gew,w,g,,r,g
gg,grwgrw,t53,re,g,re,e
fewg,g,g,,r,,g
Name of Wine,Winery,Notes,Wine Type,Date of Visit,Purchased,Year
Name of Wine,Winery,Notes,Wine Type,Date of Visit,Purchased,Year
Name of Wine,Winery,Notes,Wine Type,Date of Visit,Purchased,Year
Name of Wine,Winery,Notes,Wine Type,Date of Visit,Purchased,Year
cc,bb,gg,"['d', 'd']",aa,ff,ee
Name of Wine,Winery,Notes,Wine Type,Date of Visit,Purchased,Year
33,22,77,"['4', '4']",11,66,55
